Date,Open,High,Low,Close,Next_Day_Return,Target,Daily_Return,SMA_5,SMA_10,SMA_20,SMA_50,Momentum_10,RSI_14,MACD,MACD_Signal,Volatility_20
2022-03-04,16339.45,16456.0,16133.8,16245.35,-0.023526732264925,0,-0.015316961701534404,16560.329999999998,16768.800000000003,17047.555,17388.961,-1059.2499999999982,32.57421465160775,-273.9198537109951,-195.3155289383628,0.017344679346543195
2022-03-07,15867.95,15944.6,15711.45,15863.15,0.0094747890551372,1,-0.023526732264925077,16401.28,16627.485,16964.8975,17364.772,-1413.1499999999996,34.15241761974863,-326.04699052426076,-221.46182125554242,0.01789413937837282
2022-03-08,15747.75,16028.75,15671.45,16013.45,0.0207263269314232,1,0.009474789055137212,16245.189999999999,16508.165,16904.89,17344.966,-1193.2000000000007,25.489657697235984,-351.1819610699931,-247.4058492184326,0.017911365413350602
2022-03-09,16078.0,16418.05,15990.0,16345.35,0.0152673390291429,1,0.02072632693142329,16193.070000000002,16433.48,16858.82,17330.148,-746.8500000000004,33.89710367110101,-340.39617490417004,-266.0039143555801,0.018668626480241538
2022-03-10,16757.1,16757.3,16447.9,16594.9,0.0021422244183453,1,0.015267339029142901,16212.440000000002,16386.645,16815.375,17317.380999999998,-468.34999999999854,39.13203270956484,-308.1594914420057,-274.4350297728652,0.018839729708422584
2022-03-11,16528.8,16694.4,16470.9,16630.45,0.0144824704081969,1,0.0021422244183453287,16289.460000000001,16424.895,16766.605000000003,17305.718,382.5,40.13170962763766,-276.5551440976669,-274.8590526378256,0.018710962671128307
2022-03-14,16633.7,16887.95,16606.5,16871.3,-0.0123464107685832,0,0.014482470408196946,16491.09,16446.184999999998,16741.4325,17299.065,212.89999999999782,45.13075169519824,-229.42917231395404,-265.7730765730513,0.018916869833522997
2022-03-15,16900.65,16927.75,16555.0,16663.0,0.0187451239272639,1,-0.012346410768583338,16621.0,16433.095,16732.442499999997,17285.244,-130.90000000000146,43.9333974105275,-206.50906140291045,-253.92027353902313,0.017836858588019172
2022-03-16,16876.65,16987.9,16837.85,16975.35,0.0183619189000521,1,0.018745123927264018,16747.0,16470.035,16713.5875,17272.237,369.3999999999978,48.8497173366834,-161.28152081559165,-235.39252299433684,0.016960015271461223
2022-03-17,17202.9,17344.6,17175.75,17287.05,-0.0098021351242693,0,0.01836191890005212,16885.43,16548.935,16711.83,17261.873,789.0,65.66230555890508,-99.14391470512055,-208.1428013364936,0.017498433297731344
2022-03-21,17329.5,17353.35,17096.4,17117.6,0.0115612001682479,1,-0.009802135124269418,16982.86,16636.159999999996,16702.48,17245.72,872.2499999999982,57.46375398218577,-62.84813880996444,-179.08386883118777,0.01763622924994615
2022-03-22,17120.4,17334.4,17006.3,17315.5,-0.0040339580144955,0,0.01156120016824791,17071.7,16781.394999999997,16704.44,17237.112,1452.3500000000004,58.30943732874527,-17.90816466065371,-146.84872799708094,0.017833103076947323
2022-03-23,17405.05,17442.4,17199.6,17245.65,-0.001327871086332,0,-0.0040339580144955756,17188.23,16904.615,16706.390000000003,17225.771,1232.2000000000007,60.589306406224146,11.933218671834766,-115.09233866329781,0.017833133822602435
2022-03-24,17094.95,17291.75,17091.15,17222.75,-0.0040498758909001,0,-0.001327871086332033,17237.71,16992.355000000003,16712.917500000003,17210.16,877.3999999999996,62.34372338613525,33.35044813550121,-85.40378130353801,0.017764048039378973
2022-03-25,17289.0,17294.9,17076.55,17153.0,0.0040226199498629,1,-0.004049875890900112,17210.9,17048.165,16717.405000000002,17192.105,558.0999999999985,66.48743892027392,44.186164118309534,-59.4857922191685,0.017787382347425818
2022-03-28,17181.85,17235.1,17003.9,17222.0,0.0059981419115084,1,0.004022619949862971,17231.78,17107.32,16766.107500000002,17172.298,591.5499999999993,77.8527066636604,57.67641266189821,-36.05335124295516,0.013702654353938979
2022-03-29,17297.2,17343.65,17235.7,17325.3,0.0099825111253485,1,0.005998141911508492,17233.739999999998,17152.72,16799.4525,17153.647999999997,454.0,77.41760193951552,75.8288704933475,-13.67690689569463,0.01269586004366486
2022-03-30,17468.15,17522.5,17387.2,17498.25,-0.0019144771620019,0,0.009982511125348426,17284.260000000002,17236.245000000003,16834.670000000002,17138.498,835.25,75.81042356944569,102.98331613914706,9.655137711273708,0.01274916614992853
2022-03-31,17519.2,17559.8,17435.2,17464.75,0.0117780099915544,1,-0.001914477162001882,17332.66,17285.185,16877.61,17121.631,489.40000000000146,71.55922373410661,120.41220299965426,31.80655076894982,0.012402902284234678
2022-04-01,17436.9,17703.7,17422.7,17670.45,0.0216717740634789,1,0.011778009991554539,17436.15,17323.525,16936.230000000003,17112.779000000002,383.40000000000146,73.77142857142857,149.10421175931697,55.26608296702325,0.012370742067636454
2022-04-04,17809.1,18114.65,17791.4,18053.4,-0.0053175579115291,0,0.021671774063478866,17602.43,17417.105000000003,17026.6325,17115.079,935.8000000000029,75.3713083791209,200.43323045409852,84.29951246443831,0.012171077529973137
2022-04-05,18080.6,18095.45,17921.55,17957.4,-0.0083391805049728,0,-0.005317557911529103,17728.85,17481.295000000002,17131.345,17119.087000000003,641.9000000000015,79.18865286609841,230.70601455452197,113.58081288245505,0.01045675813735019
2022-04-06,17842.75,17901.0,17779.85,17807.65,-0.0094397632478177,0,-0.008339180504972843,17790.730000000003,17537.495,17221.055,17122.897,562.0,70.25356499732324,239.8490104787379,138.83445240171164,0.010918024964598875
2022-04-07,17723.3,17787.5,17623.7,17639.55,0.0082088261888766,1,-0.009439763247817812,17825.690000000002,17579.175,17285.765,17132.706000000002,416.7999999999993,59.22243733975195,230.869317707351,157.24142546283952,0.010769114744463343
2022-04-08,17698.15,17842.75,17600.55,17784.35,-0.0061514758762618,0,0.008208826188876639,17848.47,17642.309999999998,17345.2375,17142.834,631.3499999999985,67.67208248297061,232.75395365333316,172.34393110093825,0.01048800688525052
2022-04-11,17740.9,17779.05,17650.95,17674.95,-0.0081838986814673,0,-0.006151475876261858,17772.78,17687.605,17397.4625,17154.13,452.9500000000007,59.99610667704888,222.85098804231166,182.44534248921295,0.010706991759125758
2022-04-12,17584.85,17595.3,17442.35,17530.3,-0.0031174594844353,0,-0.008183898681467405,17687.36,17708.105,17430.4125,17162.697,205.0,57.59978641035903,201.01361056310998,186.15899610399237,0.010638646161666978
2022-04-13,17599.9,17663.65,17457.4,17475.65,-0.0172811883964258,0,-0.0031174594844354253,17620.96,17705.845,17471.045000000002,17165.413,-22.599999999998545,56.639537936466304,177.25425657726373,184.37804819864664,0.010174988147492224
2022-04-18,17183.45,17237.75,17067.85,17173.65,-0.012519179091224,0,-0.017281188396425895,17527.780000000002,17676.735,17480.96,17157.349000000002,-291.09999999999854,50.48321048321051,132.5282184792086,174.00808225475902,0.010322992360503342
2022-04-19,17258.95,17275.65,16824.7,16958.65,0.0104902218042118,1,-0.01251917909122402,17362.640000000003,17605.555,17464.54,17140.922000000002,-711.7999999999993,44.23173803526451,78.82516049948754,154.97149790370472,0.009829059745817657
